file_id,emotion,audio_path
Ses05M_script03_2_M016,Frustration,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M016.wav
Ses05M_script03_2_F039,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F039.wav
Ses05M_script03_2_M024,Neutral,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M024.wav
Ses05M_script03_2_M009,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M009.wav
Ses05M_script03_2_M021,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M021.wav
Ses05M_script03_2_F035,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F035.wav
Ses05M_script03_2_F022,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F022.wav
Ses05M_script03_2_F007,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F007.wav
Ses05M_script03_2_F015,Neutral,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F015.wav
Ses05M_script03_2_M040,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M040.wav
Ses05M_script03_2_M006,Frustration,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M006.wav
Ses05M_script03_2_M002,Disgust,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M002.wav
Ses05M_script03_2_F008,Frustration,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F008.wav
Ses05M_script03_2_M023,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M023.wav
Ses05M_script03_2_F030,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F030.wav
Ses05M_script03_2_F041,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F041.wav
Ses05M_script03_2_M025,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M025.wav
Ses05M_script03_2_F038,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F038.wav
Ses05M_script03_2_F027,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F027.wav
Ses05M_script03_2_F036,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F036.wav
Ses05M_script03_2_M000,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M000.wav
Ses05M_script03_2_M042,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M042.wav
Ses05M_script03_2_F024,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F024.wav
Ses05M_script03_2_F042,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F042.wav
Ses05M_script03_2_M045,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M045.wav
Ses05M_script03_2_F011,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F011.wav
Ses05M_script03_2_M043,Anger,/kaggle/working/audio_files/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M043.wav
